judge,blog_id,condition,true_label,label_shown,lex_count_mild,lex_count_moderate,lex_count_severe,lex_weighted_sum,lex_total_count,response_id
openai/gpt-4o,9ced5123dca8,none,ChatGPT,unattributed,0,0,0,0,0,evaluations-e70ccf67fdcb
openai/gpt-4o,9ced5123dca8,true_label,ChatGPT,ChatGPT,0,0,0,0,0,evaluations-518281c89b56
openai/gpt-4o,9ced5123dca8,false_label_1,ChatGPT,Gemini,0,0,0,0,0,evaluations-a90f38dae935
openai/gpt-4o,9ced5123dca8,false_label_2,ChatGPT,Claude,0,0,0,0,0,evaluations-99a8c2e855ca
openai/gpt-4o,8cd35eb9b9e8,none,ChatGPT,unattributed,0,0,0,0,0,evaluations-a99758fcf9e9
openai/gpt-4o,8cd35eb9b9e8,true_label,ChatGPT,ChatGPT,0,0,0,0,0,evaluations-dc4703b50daf
openai/gpt-4o,8cd35eb9b9e8,false_label_1,ChatGPT,Gemini,0,0,0,0,0,evaluations-6edf3fc29450
openai/gpt-4o,8cd35eb9b9e8,false_label_2,ChatGPT,Claude,0,0,0,0,0,evaluations-fcabe2fc79d6
openai/gpt-4o,b659fb81dbcc,none,ChatGPT,unattributed,1,0,0,2,1,evaluations-24be3921e090
openai/gpt-4o,b659fb81dbcc,true_label,ChatGPT,ChatGPT,0,0,0,0,0,evaluations-e3c452e20e2f
openai/gpt-4o,b659fb81dbcc,false_label_1,ChatGPT,Gemini,0,0,0,0,0,evaluations-064ee9a22ab0
openai/gpt-4o,b659fb81dbcc,false_label_2,ChatGPT,Claude,1,0,0,2,1,evaluations-f313c4fa8feb
openai/gpt-4o,7ee6bcc30d1c,none,ChatGPT,unattributed,1,0,0,2,1,evaluations-357975c26df0
openai/gpt-4o,7ee6bcc30d1c,true_label,ChatGPT,ChatGPT,0,0,0,0,0,evaluations-9c6623e039bd
openai/gpt-4o,7ee6bcc30d1c,false_label_1,ChatGPT,Gemini,1,0,0,2,1,evaluations-ea888230ad97
openai/gpt-4o,7ee6bcc30d1c,false_label_2,ChatGPT,Claude,0,0,0,0,0,evaluations-52751933cd2b
openai/gpt-4o,5950521ed469,none,ChatGPT,unattributed,1,0,0,2,1,evaluations-8df500bbcf95
openai/gpt-4o,5950521ed469,true_label,ChatGPT,ChatGPT,0,1,0,3,1,evaluations-7b00da0323a5
openai/gpt-4o,5950521ed469,false_label_1,ChatGPT,Gemini,0,0,0,0,0,evaluations-e392d684b2d0
openai/gpt-4o,5950521ed469,false_label_2,ChatGPT,Claude,0,0,0,0,0,evaluations-94a9b5e682b4
openai/gpt-4o,6f84aea89387,none,Gemini,unattributed,1,0,0,2,1,evaluations-a943a0a4d39f
openai/gpt-4o,6f84aea89387,true_label,Gemini,Gemini,0,0,0,0,0,evaluations-a7dea3e88f66
openai/gpt-4o,6f84aea89387,false_label_1,Gemini,Claude,0,0,0,0,0,evaluations-12e9ae2851a6
