judge,blog_id,condition,true_label,label_shown,lexicon_harshness,lexicon_identity_reference,lexicon_rationalization,lexicon_density_raw,response_id,score_coherence,score_informativeness,score_conciseness
openai/gpt-4o,fadda31e192a,none,ChatGPT,unattributed,1,1,1,-1.527,evaluations-fe442132a7d0,9,8,7
openai/gpt-4o,fadda31e192a,true_label,ChatGPT,ChatGPT,1,1,1,-1.55,evaluations-a6a533390ac6,9,8,8
openai/gpt-4o,fadda31e192a,false_label_1,ChatGPT,Gemini,1,1,3,-1.527,evaluations-e77fa57a2308,9,8,7
openai/gpt-4o,fadda31e192a,false_label_2,ChatGPT,Claude,1,3,3,-3.15,evaluations-430ed04925df,9,8,8
openai/gpt-4o,08910860621b,none,ChatGPT,unattributed,1,1,3,-0.775,evaluations-7fb17ecc4027,9,8,8
openai/gpt-4o,08910860621b,true_label,ChatGPT,ChatGPT,1,1,3,-2.273,evaluations-daa0e81f0471,9,8,7
openai/gpt-4o,08910860621b,false_label_1,ChatGPT,Gemini,1,1,3,-2.439,evaluations-4f111f55891c,9,8,8
openai/gpt-4o,08910860621b,false_label_2,ChatGPT,Claude,1,3,3,-0.752,evaluations-6a776b385280,9,8,8
openai/gpt-4o,13f44e6d3f7b,none,ChatGPT,unattributed,1,1,3,-0.781,evaluations-0d17b4778f66,9,8,7
openai/gpt-4o,13f44e6d3f7b,true_label,ChatGPT,ChatGPT,1,1,1,-1.527,evaluations-ff2b3726210c,9,8,7
openai/gpt-4o,13f44e6d3f7b,false_label_1,ChatGPT,Gemini,1,1,1,-0.787,evaluations-fa3ccbcc2b54,9,8,9
openai/gpt-4o,13f44e6d3f7b,false_label_2,ChatGPT,Claude,1,1,1,-4.762,evaluations-95c6d5172eb5,9,8,7
openai/gpt-4o,63452cdd2871,none,ChatGPT,unattributed,1,1,3,-3.252,evaluations-856692459d33,9,8,7
openai/gpt-4o,63452cdd2871,true_label,ChatGPT,ChatGPT,1,1,1,-2.4,evaluations-033bfd80933d,9,8,8
openai/gpt-4o,63452cdd2871,false_label_1,ChatGPT,Gemini,1,1,3,-3.279,evaluations-b2c12deb890f,9,8,7
openai/gpt-4o,63452cdd2871,false_label_2,ChatGPT,Claude,1,1,3,-0.787,evaluations-976938cad13a,9,8,8
openai/gpt-4o,bbfbdedc6265,none,ChatGPT,unattributed,1,1,1,-2.308,evaluations-64cb7b4a1c77,9,9,8
openai/gpt-4o,bbfbdedc6265,true_label,ChatGPT,ChatGPT,1,1,3,-2.308,evaluations-f9a98dfebd45,9,8,7
openai/gpt-4o,bbfbdedc6265,false_label_1,ChatGPT,Gemini,1,1,3,-1.695,evaluations-8e05dc5af588,9,9,8
openai/gpt-4o,bbfbdedc6265,false_label_2,ChatGPT,Claude,2,3,3,0.0,evaluations-d496ae3fa792,9,9,8
openai/gpt-4o,0386505f0fc3,none,Gemini,unattributed,1,1,3,-2.963,evaluations-6147d9cc5e96,9,8,7
