id,category,timestamp_utc,model,key_inputs,status_code
generations-07933bf1e5b9,generations,2026-05-09T18:20:03Z,openai/gpt-4o,openai/gpt-4o|What I learned from my first marathon,200
generations-c8b413b240a2,generations,2026-05-09T18:20:09Z,openai/gpt-4o,openai/gpt-4o|The unexpected joy of reading paper books,200
generations-951d73f1c0fb,generations,2026-05-09T18:20:16Z,openai/gpt-4o,openai/gpt-4o|Why your morning routine isn't working,200
generations-5d2b32eeb704,generations,2026-05-09T18:20:25Z,openai/gpt-4o,openai/gpt-4o|How sourdough baking changed my relationship with time,200
generations-88d2a4c0fd69,generations,2026-05-09T18:20:34Z,openai/gpt-4o,openai/gpt-4o|The ethics of self-driving cars,200
generations-c305d5ec2f3e,generations,2026-05-09T18:20:42Z,openai/gpt-4o,openai/gpt-4o|A beginner's guide to amateur astronomy,200
generations-7feaf94c7c5c,generations,2026-05-09T18:20:49Z,openai/gpt-4o,openai/gpt-4o|Why minimalism isn't for everyone,200
generations-4afa0117b8f6,generations,2026-05-09T18:21:00Z,openai/gpt-4o,openai/gpt-4o|What watching every Studio Ghibli film taught me about pacing,200
generations-dbfffc224f94,generations,2026-05-09T18:21:09Z,openai/gpt-4o,openai/gpt-4o|The science behind why cold showers feel impossible,200
generations-537686c68474,generations,2026-05-09T18:21:17Z,openai/gpt-4o,openai/gpt-4o|Notes on returning to my hometown after ten years,200
generations-e832b9124804,generations,2026-05-09T18:21:23Z,google/gemini-2.5-flash,google/gemini-2.5-flash|What I learned from my first marathon,200
generations-6b3e2ea30a1b,generations,2026-05-09T18:21:27Z,google/gemini-2.5-flash,google/gemini-2.5-flash|The unexpected joy of reading paper books,200
generations-2a2a241ddb58,generations,2026-05-09T18:21:33Z,google/gemini-2.5-flash,google/gemini-2.5-flash|Why your morning routine isn't working,200
generations-5282f47de665,generations,2026-05-09T18:21:38Z,google/gemini-2.5-flash,google/gemini-2.5-flash|How sourdough baking changed my relationship with time,200
generations-bcbb47811be0,generations,2026-05-09T18:21:42Z,google/gemini-2.5-flash,google/gemini-2.5-flash|The ethics of self-driving cars,200
generations-42c6f3cb8199,generations,2026-05-09T18:21:48Z,google/gemini-2.5-flash,google/gemini-2.5-flash|A beginner's guide to amateur astronomy,200
generations-ac64983afd4b,generations,2026-05-09T18:21:53Z,google/gemini-2.5-flash,google/gemini-2.5-flash|Why minimalism isn't for everyone,200
generations-3e753cf984e1,generations,2026-05-09T18:21:58Z,google/gemini-2.5-flash,google/gemini-2.5-flash|What watching every Studio Ghibli film taught me about pacing,200
generations-9fefd6d116e8,generations,2026-05-09T18:22:03Z,google/gemini-2.5-flash,google/gemini-2.5-flash|The science behind why cold showers feel impossible,200
generations-61915f233607,generations,2026-05-09T18:22:08Z,google/gemini-2.5-flash,google/gemini-2.5-flash|Notes on returning to my hometown after ten years,200
generations-64391335bc9b,generations,2026-05-09T18:22:25Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|What I learned from my first marathon,200
generations-26c0b105fc65,generations,2026-05-09T18:22:37Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|The unexpected joy of reading paper books,200
generations-e012aaf4c9e5,generations,2026-05-09T18:22:48Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|Why your morning routine isn't working,200
generations-61dcb17c42cd,generations,2026-05-09T18:23:13Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|How sourdough baking changed my relationship with time,200
generations-031fabad6651,generations,2026-05-09T18:23:24Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|The ethics of self-driving cars,200
generations-92f6918fc89c,generations,2026-05-09T18:23:51Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|A beginner's guide to amateur astronomy,200
generations-4b7995fe2950,generations,2026-05-09T18:24:03Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|Why minimalism isn't for everyone,200
generations-fda823d0f8b1,generations,2026-05-09T18:24:16Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|What watching every Studio Ghibli film taught me about pacing,200
generations-c9983b266f9d,generations,2026-05-09T18:24:53Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|The science behind why cold showers feel impossible,200
generations-db375f18457d,generations,2026-05-09T18:25:24Z,anthropic/claude-sonnet-4,anthropic/claude-sonnet-4|Notes on returning to my hometown after ten years,200
evaluations-fe442132a7d0,evaluations,2026-05-09T18:26:00Z,openai/gpt-4o,openai/gpt-4o|fadda31e192a|none,200
evaluations-a6a533390ac6,evaluations,2026-05-09T18:26:03Z,openai/gpt-4o,openai/gpt-4o|fadda31e192a|true_label,200
evaluations-e77fa57a2308,evaluations,2026-05-09T18:26:07Z,openai/gpt-4o,openai/gpt-4o|fadda31e192a|false_label_1,200
evaluations-430ed04925df,evaluations,2026-05-09T18:26:09Z,openai/gpt-4o,openai/gpt-4o|fadda31e192a|false_label_2,200
evaluations-7fb17ecc4027,evaluations,2026-05-09T19:07:40Z,openai/gpt-4o,openai/gpt-4o|08910860621b|none,200
evaluations-daa0e81f0471,evaluations,2026-05-09T19:07:42Z,openai/gpt-4o,openai/gpt-4o|08910860621b|true_label,200
evaluations-4f111f55891c,evaluations,2026-05-09T19:07:44Z,openai/gpt-4o,openai/gpt-4o|08910860621b|false_label_1,200
evaluations-6a776b385280,evaluations,2026-05-09T19:07:48Z,openai/gpt-4o,openai/gpt-4o|08910860621b|false_label_2,200
evaluations-0d17b4778f66,evaluations,2026-05-09T19:07:51Z,openai/gpt-4o,openai/gpt-4o|13f44e6d3f7b|none,200
evaluations-ff2b3726210c,evaluations,2026-05-09T19:07:52Z,openai/gpt-4o,openai/gpt-4o|13f44e6d3f7b|true_label,200
evaluations-fa3ccbcc2b54,evaluations,2026-05-09T19:07:54Z,openai/gpt-4o,openai/gpt-4o|13f44e6d3f7b|false_label_1,200
evaluations-95c6d5172eb5,evaluations,2026-05-09T19:07:56Z,openai/gpt-4o,openai/gpt-4o|13f44e6d3f7b|false_label_2,200
evaluations-856692459d33,evaluations,2026-05-09T19:07:58Z,openai/gpt-4o,openai/gpt-4o|63452cdd2871|none,200
evaluations-033bfd80933d,evaluations,2026-05-09T19:08:00Z,openai/gpt-4o,openai/gpt-4o|63452cdd2871|true_label,200
evaluations-b2c12deb890f,evaluations,2026-05-09T19:08:02Z,openai/gpt-4o,openai/gpt-4o|63452cdd2871|false_label_1,200
evaluations-976938cad13a,evaluations,2026-05-09T19:08:03Z,openai/gpt-4o,openai/gpt-4o|63452cdd2871|false_label_2,200
evaluations-64cb7b4a1c77,evaluations,2026-05-09T19:08:06Z,openai/gpt-4o,openai/gpt-4o|bbfbdedc6265|none,200
evaluations-f9a98dfebd45,evaluations,2026-05-09T19:08:10Z,openai/gpt-4o,openai/gpt-4o|bbfbdedc6265|true_label,200
evaluations-8e05dc5af588,evaluations,2026-05-09T19:08:11Z,openai/gpt-4o,openai/gpt-4o|bbfbdedc6265|false_label_1,200
evaluations-d496ae3fa792,evaluations,2026-05-09T19:08:13Z,openai/gpt-4o,openai/gpt-4o|bbfbdedc6265|false_label_2,200
evaluations-6147d9cc5e96,evaluations,2026-05-09T19:08:17Z,openai/gpt-4o,openai/gpt-4o|0386505f0fc3|none,200
evaluations-d93185337aa6,evaluations,2026-05-09T19:08:20Z,openai/gpt-4o,openai/gpt-4o|0386505f0fc3|true_label,200
evaluations-17a39e066987,evaluations,2026-05-09T19:08:22Z,openai/gpt-4o,openai/gpt-4o|0386505f0fc3|false_label_1,200
evaluations-9eeb686ae493,evaluations,2026-05-09T19:08:25Z,openai/gpt-4o,openai/gpt-4o|0386505f0fc3|false_label_2,200
evaluations-c976eedb37a7,evaluations,2026-05-09T19:08:26Z,openai/gpt-4o,openai/gpt-4o|81c69986e1dd|none,200
evaluations-e51228925629,evaluations,2026-05-09T19:08:29Z,openai/gpt-4o,openai/gpt-4o|81c69986e1dd|true_label,200
evaluations-be3c695ec1da,evaluations,2026-05-09T19:08:31Z,openai/gpt-4o,openai/gpt-4o|81c69986e1dd|false_label_1,200
evaluations-2c2d31e1e805,evaluations,2026-05-09T19:08:35Z,openai/gpt-4o,openai/gpt-4o|81c69986e1dd|false_label_2,200
evaluations-ee0e03468fa7,evaluations,2026-05-09T19:08:36Z,openai/gpt-4o,openai/gpt-4o|073bbb8db1ce|none,200
evaluations-d57ecb9b2add,evaluations,2026-05-09T19:08:39Z,openai/gpt-4o,openai/gpt-4o|073bbb8db1ce|true_label,200
evaluations-bd90e7f06109,evaluations,2026-05-09T19:08:42Z,openai/gpt-4o,openai/gpt-4o|073bbb8db1ce|false_label_1,200
evaluations-5812d768a76a,evaluations,2026-05-09T19:08:45Z,openai/gpt-4o,openai/gpt-4o|073bbb8db1ce|false_label_2,200
evaluations-d0de095753ec,evaluations,2026-05-09T19:08:48Z,openai/gpt-4o,openai/gpt-4o|ba241b5822b4|none,200
evaluations-453a5c0047c7,evaluations,2026-05-09T19:08:50Z,openai/gpt-4o,openai/gpt-4o|ba241b5822b4|true_label,200
evaluations-e8b212110d72,evaluations,2026-05-09T19:08:53Z,openai/gpt-4o,openai/gpt-4o|ba241b5822b4|false_label_1,200
evaluations-9a910c232130,evaluations,2026-05-09T19:08:56Z,openai/gpt-4o,openai/gpt-4o|ba241b5822b4|false_label_2,200
evaluations-fe15f6156325,evaluations,2026-05-09T19:09:00Z,openai/gpt-4o,openai/gpt-4o|627b8e7ddfdd|none,200
evaluations-6fffa45bde6f,evaluations,2026-05-09T19:09:02Z,openai/gpt-4o,openai/gpt-4o|627b8e7ddfdd|true_label,200
evaluations-53ba5073f908,evaluations,2026-05-09T19:09:04Z,openai/gpt-4o,openai/gpt-4o|627b8e7ddfdd|false_label_1,200
evaluations-fd485dc3c464,evaluations,2026-05-09T19:09:06Z,openai/gpt-4o,openai/gpt-4o|627b8e7ddfdd|false_label_2,200
