Expected evaluations: 180; resuming with 4 already done.
[5/180] openai/gpt-4o | 08910860621b | none  →  evaluations-7fb17ecc4027
[6/180] openai/gpt-4o | 08910860621b | true_label  →  evaluations-daa0e81f0471
[7/180] openai/gpt-4o | 08910860621b | false_label_1  →  evaluations-4f111f55891c
[8/180] openai/gpt-4o | 08910860621b | false_label_2  →  evaluations-6a776b385280
[9/180] openai/gpt-4o | 13f44e6d3f7b | none  →  evaluations-0d17b4778f66
[10/180] openai/gpt-4o | 13f44e6d3f7b | true_label  →  evaluations-ff2b3726210c
[11/180] openai/gpt-4o | 13f44e6d3f7b | false_label_1  →  evaluations-fa3ccbcc2b54
[12/180] openai/gpt-4o | 13f44e6d3f7b | false_label_2  →  evaluations-95c6d5172eb5
[13/180] openai/gpt-4o | 63452cdd2871 | none  →  evaluations-856692459d33
[14/180] openai/gpt-4o | 63452cdd2871 | true_label  →  evaluations-033bfd80933d
[15/180] openai/gpt-4o | 63452cdd2871 | false_label_1  →  evaluations-b2c12deb890f
[16/180] openai/gpt-4o | 63452cdd2871 | false_label_2  →  evaluations-976938cad13a
[17/180] openai/gpt-4o | bbfbdedc6265 | none  →  evaluations-64cb7b4a1c77
[18/180] openai/gpt-4o | bbfbdedc6265 | true_label  →  evaluations-f9a98dfebd45
[19/180] openai/gpt-4o | bbfbdedc6265 | false_label_1  →  evaluations-8e05dc5af588
[20/180] openai/gpt-4o | bbfbdedc6265 | false_label_2  →  evaluations-d496ae3fa792
[21/180] openai/gpt-4o | 0386505f0fc3 | none  →  evaluations-6147d9cc5e96
[22/180] openai/gpt-4o | 0386505f0fc3 | true_label  →  evaluations-d93185337aa6
[23/180] openai/gpt-4o | 0386505f0fc3 | false_label_1  →  evaluations-17a39e066987
[24/180] openai/gpt-4o | 0386505f0fc3 | false_label_2  →  evaluations-9eeb686ae493
[25/180] openai/gpt-4o | 81c69986e1dd | none  →  evaluations-c976eedb37a7
[26/180] openai/gpt-4o | 81c69986e1dd | true_label  →  evaluations-e51228925629
[27/180] openai/gpt-4o | 81c69986e1dd | false_label_1  →  evaluations-be3c695ec1da
